date,origin,destination
2025-11-24,嘉兴,宁波
2025-11-24,宁波,镇江
2025-11-25,宁波,绍兴
2025-11-25,宁波,镇江
2025-11-25,宁波,宁波
2025-11-26,宁波,杭州
2025-11-28,绍兴,宁波
2025-11-28,杭州,湖州
2025-11-29,马鞍山,苏州
2025-11-29,南京,滁州
2025-11-30,马鞍山,宣城
2025-11-30,合肥,淮北
2025-12-01,合肥,滁州
2025-12-02,南京,上海
2025-12-04,上海,金华
2025-12-05,金华,上饶
2025-12-05,金华,合肥
2025-12-05,金华,温州
2025-12-05,金华,杭州
2025-12-06,苏州,信阳
2025-12-06,嘉兴,湖州
2025-12-09,宁波,衢州
2025-12-09,宁波,宿州
2025-12-09,宁波,台州
2025-12-10,衢州,台州
2025-12-11,台州,上饶
2025-12-12,台州,宁波
2025-12-13,宁波,上海
2025-12-14,上海,上海
